feature,importance
entropy,0.1650967023929285
base64_charset_ratio,0.15482549567215512
chi_square,0.1479078330051579
std_dev,0.13662185774774907
ascii_ratio,0.13328040141250241
skewness,0.1009567041681273
kurtosis,0.08374294572097803
compression_ratio,0.04965418024034361
block_repeat_score,0.027913879640058
format_consistency_score,0.0
structural_damage_score,0.0
semantic_anomaly_score,0.0
entropy_std,0.0
entropy_delta_mean,0.0
entropy_delta_std,0.0
entropy_shock_score,0.0
entropy_mean,0.0
entropy_min,0.0
entropy_max,0.0
entropy_range,0.0
high_entropy_ratio,0.0
low_entropy_ratio,0.0
entropy_spike_count,0.0
entropy_periodicity,0.0
entropy_transition_count,0.0
flat_entropy_score,0.0
ransomware_score,0.0
